sample_name,assay_type,library_prep_date,library_protocol,library_version,tumor_stage,kit,operator,stool_dna_sm_id
SAMPLE-00001,RNA-Seq,3/1/26,PolyA,v1,I,Kit-A,Alice,
SAMPLE-00002,RNA-Seq,3/2/26,PolyA,v2,II,Kit-B,Bob,
SAMPLE-00003,ChIP-Seq,3/3/26,ChIPmentation,v1,III,Kit-C,Carol,
SAMPLE-00004,ChIP-Seq,3/4/26,ChIPmentation,v2,I,Kit-A,Dan,
SAMPLE-00005,ATAC-Seq,3/5/26,Omni-ATAC,v1,II,Kit-B,Eve,
SAMPLE-00006,ATAC-Seq,3/6/26,Omni-ATAC,v2,III,Kit-C,Alice,
SAMPLE-00007,RNA-Seq,3/7/26,RiboMinus,v1,I,Kit-A,Bob,
SAMPLE-00008,ChIP-Seq,3/8/26,ChIPmentation,v1,II,Kit-B,Carol,
SAMPLE-00009,RNA-Seq,3/9/26,PolyA,v2,III,Kit-C,Dan,
SAMPLE-00010,ATAC-Seq,3/10/26,Omni-ATAC,v1,I,Kit-A,Eve,
SAMPLE-00011,RNA-Seq,3/11/26,PolyA,v1,II,Kit-B,Alice,
SAMPLE-00012,RNA-Seq,3/12/26,RiboMinus,v2,III,Kit-C,Bob,
SAMPLE-00013,ChIP-Seq,3/13/26,ChIPmentation,v1,I,Kit-A,Carol,
SAMPLE-00014,ChIP-Seq,3/14/26,ChIPmentation,v2,II,Kit-B,Dan,
SAMPLE-00015,ATAC-Seq,3/15/26,Omni-ATAC,v1,III,Kit-C,Eve,
SAMPLE-00016,ATAC-Seq,3/16/26,Omni-ATAC,v2,I,Kit-A,Alice,
SAMPLE-00017,RNA-Seq,3/17/26,RiboMinus,v1,II,Kit-B,Bob,
SAMPLE-00018,ChIP-Seq,3/18/26,ChIPmentation,v1,III,Kit-C,Carol,
SAMPLE-00019,RNA-Seq,3/19/26,PolyA,v2,I,Kit-A,Dan,
SAMPLE-00020,ATAC-Seq,3/20/26,Omni-ATAC,v1,II,Kit-B,Eve,
SAMPLE-00021,RNA-Seq,3/21/26,PolyA,v1,III,Kit-C,Alice,
SAMPLE-00022,RNA-Seq,3/22/26,RiboMinus,v2,I,Kit-A,Bob,
SAMPLE-00023,ChIP-Seq,3/23/26,ChIPmentation,v1,II,Kit-B,Carol,
SAMPLE-00024,ChIP-Seq,3/24/26,ChIPmentation,v2,III,Kit-C,Dan,
SAMPLE-00025,ATAC-Seq,3/25/26,Omni-ATAC,v1,I,Kit-A,Eve,
SAMPLE-00026,ATAC-Seq,3/26/26,Omni-ATAC,v2,II,Kit-B,Alice,
SAMPLE-00027,RNA-Seq,3/27/26,RiboMinus,v1,III,Kit-C,Bob,
SAMPLE-00028,ChIP-Seq,3/28/26,ChIPmentation,v1,I,Kit-A,Carol,
SAMPLE-00029,RNA-Seq,3/29/26,PolyA,v2,II,Kit-B,Dan,
SAMPLE-00030,ATAC-Seq,3/30/26,Omni-ATAC,v1,III,Kit-C,Eve,
SAMPLE-00031,RNA-Seq,3/31/26,PolyA,v1,I,Kit-A,Alice,
SAMPLE-00032,RNA-Seq,4/1/26,RiboMinus,v2,II,Kit-B,Bob,
SAMPLE-00033,ChIP-Seq,4/2/26,ChIPmentation,v1,III,Kit-C,Carol,
SAMPLE-00034,ChIP-Seq,4/3/26,ChIPmentation,v2,I,Kit-A,Dan,
SAMPLE-00035,ATAC-Seq,4/4/26,Omni-ATAC,v1,II,Kit-B,Eve,
SAMPLE-00036,ATAC-Seq,4/5/26,Omni-ATAC,v2,III,Kit-C,Alice,
SAMPLE-00037,RNA-Seq,4/6/26,RiboMinus,v1,I,Kit-A,Bob,
SAMPLE-00038,ChIP-Seq,4/7/26,ChIPmentation,v1,II,Kit-B,Carol,
SAMPLE-00039,RNA-Seq,4/8/26,PolyA,v2,III,Kit-C,Dan,
SAMPLE-00040,ATAC-Seq,4/9/26,Omni-ATAC,v1,I,Kit-A,Eve,
SAMPLE-00041,RNA-Seq,4/10/26,PolyA,v1,II,Kit-B,Alice,
SAMPLE-00042,RNA-Seq,4/11/26,RiboMinus,v2,III,Kit-C,Bob,
SAMPLE-00043,ChIP-Seq,4/12/26,ChIPmentation,v1,I,Kit-A,Carol,
SAMPLE-00044,ChIP-Seq,4/13/26,ChIPmentation,v2,II,Kit-B,Dan,
SAMPLE-00045,ATAC-Seq,4/14/26,Omni-ATAC,v1,III,Kit-C,Eve,
SAMPLE-00046,ATAC-Seq,4/15/26,Omni-ATAC,v2,I,Kit-A,Alice,
SAMPLE-00047,RNA-Seq,4/16/26,RiboMinus,v1,II,Kit-B,Bob,
SAMPLE-00048,ChIP-Seq,4/17/26,ChIPmentation,v1,III,Kit-C,Carol,
SAMPLE-00049,RNA-Seq,4/18/26,PolyA,v2,I,Kit-A,Dan,
SAMPLE-00050,ATAC-Seq,4/19/26,Omni-ATAC,v1,II,Kit-B,Eve,
SM-MT492,DNA-ex,6/26/26,,,,,,SM-N8RQB
SM-MTZR3,DNA-ex,6/26/26,,,,,,SM-N8RQ9
SM-MT47A,DNA-ex,6/26/26,,,,,,SM-N8RPS
SM-MT46O,DNA-ex,6/26/26,,,,,,SM-N8ROZ
SM-MT47R,DNA-ex,6/26/26,,,,,,SM-N8RP2
SM-MT476,DNA-ex,6/26/26,,,,,,SM-N8ROX
SM-MT48C,DNA-ex,6/26/26,,,,,,SM-N8ROY
SM-MT46M,DNA-ex,6/26/26,,,,,,SM-N8RP1
SM-MT47E,DNA-ex,6/26/26,,,,,,SM-N8ROW
SM-MT47I,DNA-ex,6/26/26,,,,,,SM-N8ROV
SM-MT49A,DNA-ex,6/26/26,,,,,,SM-N8RPT
