sample_name,assay_type,library_prep_date,flowcell_id,file_type,gcs_uri,gcs_bucket,file_path,file_format,extra_metadata
SAMPLE-00001,RNA-Seq,3/1/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane1/SAMPLE-00001_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00001,RNA-Seq,3/1/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane1/SAMPLE-00001_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00002,RNA-Seq,3/2/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane1/SAMPLE-00002_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00002,RNA-Seq,3/2/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane1/SAMPLE-00002_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00003,ChIP-Seq,3/3/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane2/SAMPLE-00003_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00003,ChIP-Seq,3/3/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane2/SAMPLE-00003_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00004,ChIP-Seq,3/4/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane2/SAMPLE-00004_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00004,ChIP-Seq,3/4/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane2/SAMPLE-00004_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00005,ATAC-Seq,3/5/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane3/SAMPLE-00005_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00005,ATAC-Seq,3/5/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane3/SAMPLE-00005_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00006,ATAC-Seq,3/6/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane2/SAMPLE-00006_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00006,ATAC-Seq,3/6/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane2/SAMPLE-00006_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00007,RNA-Seq,3/7/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane2/SAMPLE-00007_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00007,RNA-Seq,3/7/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane2/SAMPLE-00007_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00008,ChIP-Seq,3/8/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane3/SAMPLE-00008_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00008,ChIP-Seq,3/8/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane3/SAMPLE-00008_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00009,RNA-Seq,3/9/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane3/SAMPLE-00009_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00009,RNA-Seq,3/9/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane3/SAMPLE-00009_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00010,ATAC-Seq,3/10/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane4/SAMPLE-00010_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00010,ATAC-Seq,3/10/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane4/SAMPLE-00010_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00011,RNA-Seq,3/11/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane3/SAMPLE-00011_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00011,RNA-Seq,3/11/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane3/SAMPLE-00011_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00012,RNA-Seq,3/12/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane3/SAMPLE-00012_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00012,RNA-Seq,3/12/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane3/SAMPLE-00012_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00013,ChIP-Seq,3/13/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane4/SAMPLE-00013_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00013,ChIP-Seq,3/13/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane4/SAMPLE-00013_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00014,ChIP-Seq,3/14/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane4/SAMPLE-00014_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00014,ChIP-Seq,3/14/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane4/SAMPLE-00014_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00015,ATAC-Seq,3/15/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane1/SAMPLE-00015_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00015,ATAC-Seq,3/15/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane1/SAMPLE-00015_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00016,ATAC-Seq,3/16/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane4/SAMPLE-00016_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00016,ATAC-Seq,3/16/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane4/SAMPLE-00016_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00017,RNA-Seq,3/17/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane4/SAMPLE-00017_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00017,RNA-Seq,3/17/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane4/SAMPLE-00017_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00018,ChIP-Seq,3/18/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane1/SAMPLE-00018_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00018,ChIP-Seq,3/18/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane1/SAMPLE-00018_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00019,RNA-Seq,3/19/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane1/SAMPLE-00019_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00019,RNA-Seq,3/19/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane1/SAMPLE-00019_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00020,ATAC-Seq,3/20/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane2/SAMPLE-00020_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00020,ATAC-Seq,3/20/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane2/SAMPLE-00020_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00021,RNA-Seq,3/21/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane1/SAMPLE-00021_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00021,RNA-Seq,3/21/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane1/SAMPLE-00021_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00022,RNA-Seq,3/22/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane1/SAMPLE-00022_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00022,RNA-Seq,3/22/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane1/SAMPLE-00022_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00023,ChIP-Seq,3/23/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane2/SAMPLE-00023_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00023,ChIP-Seq,3/23/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane2/SAMPLE-00023_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00024,ChIP-Seq,3/24/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane2/SAMPLE-00024_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00024,ChIP-Seq,3/24/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane2/SAMPLE-00024_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00025,ATAC-Seq,3/25/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane3/SAMPLE-00025_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00025,ATAC-Seq,3/25/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane3/SAMPLE-00025_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00026,ATAC-Seq,3/26/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane2/SAMPLE-00026_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00026,ATAC-Seq,3/26/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane2/SAMPLE-00026_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00027,RNA-Seq,3/27/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane2/SAMPLE-00027_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00027,RNA-Seq,3/27/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane2/SAMPLE-00027_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00028,ChIP-Seq,3/28/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane3/SAMPLE-00028_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00028,ChIP-Seq,3/28/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane3/SAMPLE-00028_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00029,RNA-Seq,3/29/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane3/SAMPLE-00029_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00029,RNA-Seq,3/29/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane3/SAMPLE-00029_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00030,ATAC-Seq,3/30/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane4/SAMPLE-00030_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00030,ATAC-Seq,3/30/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane4/SAMPLE-00030_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00031,RNA-Seq,3/31/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane3/SAMPLE-00031_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00031,RNA-Seq,3/31/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane3/SAMPLE-00031_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00032,RNA-Seq,4/1/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane3/SAMPLE-00032_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00032,RNA-Seq,4/1/26,FC-00002,fastq,gs://lims-raw/FC-00002/lane3/SAMPLE-00032_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00033,ChIP-Seq,4/2/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane4/SAMPLE-00033_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00033,ChIP-Seq,4/2/26,FC-00003,fastq,gs://lims-raw/FC-00003/lane4/SAMPLE-00033_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00034,ChIP-Seq,4/3/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane4/SAMPLE-00034_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00034,ChIP-Seq,4/3/26,FC-00004,fastq,gs://lims-raw/FC-00004/lane4/SAMPLE-00034_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00035,ATAC-Seq,4/4/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane1/SAMPLE-00035_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00035,ATAC-Seq,4/4/26,FC-00005,fastq,gs://lims-raw/FC-00005/lane1/SAMPLE-00035_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
SAMPLE-00036,ATAC-Seq,4/5/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane4/SAMPLE-00036_R1.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R1""}"
SAMPLE-00036,ATAC-Seq,4/5/26,FC-00001,fastq,gs://lims-raw/FC-00001/lane4/SAMPLE-00036_R2.fastq.gz,lims-raw,,fastq.gz,"{""read"": ""R2""}"
