pub_id,freezerworks_id
SM-MT491,SM-N8RQB
SM-MTZR4,SM-N8RQ9
SM-MT47C,SM-N8RPS
SM-MT46R,SM-N8ROZ
SM-MT47S,SM-N8RP2
SM-MT478,SM-N8ROX
SM-MT48D,SM-N8ROY
SM-MT46N,SM-N8RP1
SM-MT47G,SM-N8ROW
SM-MT47K,SM-N8ROV
SM-MT49B,SM-N8RPT
SM-MT49F,SM-N8RPO
SM-MT49P,SM-N8RPR
SM-MT49X,SM-N8RPQ
SM-MT4A4,SM-N8RPP
SM-MT49N,SM-N8RP9
SM-MT4AC,SM-N8RPA
SM-MT49V,SM-N8RPL
SM-MT4A6,SM-N8RP8
SM-MT485,SM-N8RP7
SM-MT4AK,SM-N8RP6
SM-MT4AS,SM-N8ROO
SM-MT47W,SM-N8RP5
SM-MT48L,SM-N8RP4
SM-MT46Z,SM-N8RP3
SM-MTZRO,SM-N8RQA
SM-MTZRC,SM-N8RQ1
SM-MTZRK,SM-N8RQ5
SM-MTZS9,SM-N8RQ6
SM-MTZSP,SM-N8RPW
SM-MTZSL,SM-N8RPX
SM-MT48Y,SM-N8RPU
SM-MUAK8,SM-N8RQ8
SM-MTZQR,SM-N8RQ7
SM-MT49J,SM-N8RQ3
SM-MTZSD,SM-N8RQ4
SM-MTZRS,SM-N8RQ2
SM-MTZRW,SM-N8RPZ
SM-MTZS5,SM-N8RPY
SM-MTZS1,SM-N8RQH
SM-MUAII,SM-N8RQG
SM-MUAJN,SM-N8RQC
SM-MUAJR,SM-N8RQF
SM-MUAJV,SM-N8RQD
SM-MTZR8,SM-N8RQE
SM-MUAK4,SM-N8RPN
SM-MVQPW,SM-N8RPG
SM-MUAB3,SM-N8RPD
SM-MUAIQ,SM-N8RR7
SM-MUAJ7,SM-N8RPB
SM-MTZRG,SM-N8RR6
SM-MVQR3,SM-N8RR4
SM-MUAA2,SM-N8RQN
SM-MUAA6,SM-N8RQJ
SM-MUAAE,SM-N8RQX
SM-MUAAQ,SM-N8RQW
SM-MUA9X,SM-N8RQL
SM-MUAJF,SM-N8RQI
SM-MUAIM,SM-N8RQK
SM-MUAI9,SM-N8ROT
SM-MUAI5,SM-N8RQT
SM-MUAAA,SM-N8RQO
SM-MVQQA,SM-N8RPF
SM-MVQQ6,SM-N8RPH
SM-MVQQQ,SM-N8RPC
SM-MVQQU,SM-N8RPE
SM-MVQQY,SM-N8RR8
SM-MUAAI,SM-N8RQM
SM-MVQRB,SM-N8RR2
SM-MVQRF,SM-N8RR3
SM-MVQRJ,SM-N8RR5
SM-MUA9D,SM-N8RR1
SM-MUA9T,SM-N8RQY
SM-MUA8W,SM-N8RQZ
SM-MUAIE,SM-N8RQU
SM-MUA99,SM-N8RQS
SM-MUAAM,SM-N8RQR
SM-MUAIY,SM-N8ROR
SM-MTZSH,SM-N8RQQ
SM-MT497,SM-N8RQP
SM-MUA9L,SM-N8RQV
SM-MVQJM,SM-N8ROS
SM-MVQKU,SM-N8ROK
SM-MVQLR,SM-N8ROJ
SM-MVQM8,SM-N8ROL
SM-MVQMS,SM-N8ROU
SM-MVQLB,SM-N8RON
SM-MXVJH,SM-N8ROM
SM-MVQKD,SM-N8ROQ
SM-MVQMC,SM-N8ROP
SM-MUAJJ,SM-N8RPJ
SM-MVQQE,SM-N8RPM
SM-MVQQI,SM-N8RPI
SM-MVQQ2,SM-MO3O6
SM-MVQMO,SM-MO3NX
SM-MVYDL,SM-MO3NP
SM-MVYDP,SM-MO3PM
SM-MVQIN,SM-MO3PE
SM-MVQJE,SM-MO3P6
SM-MVQJC,SM-MO3OW
SM-MVQIV,SM-MO3ON
SM-MVQM4,SM-MO3OF
SM-MVQJW,SM-MO3O7
SM-MVQK5,SM-MO3NY
SM-MVQLJ,SM-MO3NQ
SM-MVQPL,SM-MO3PN
SM-MVQPD,SM-MO3PF
SM-MVQIZ,SM-MO3P7
SM-MVQL7,SM-MO3OX
SM-MVQLV,SM-MO3OO
SM-MVQIR,SM-MO3OG
SM-MVYE6,SM-MO3O8
SM-MVYDX,SM-MO3NZ
SM-MVYEE,SM-MO3NR
SM-MVQK1,SM-MO3PO
SM-MVQLF,SM-MO3PG
SM-MVQQM,SM-MO3P8
SM-MVYD9,SM-MO3OY
SM-MVYD5,SM-MO3OP
SM-MUAAU,SM-MO3OH
SM-MVQIF,SM-MO3O9
SM-MVYE2,SM-MO3O1
SM-MVQKJ,SM-MO3NS
SM-MVQPQ,SM-MO3PP
SM-MVQKY,SM-MO3PH
SM-MVQPP,SM-MO3P9
SM-MVQLN,SM-MO3OZ
SM-MVQL3,SM-MO3OR
SM-MVQMG,SM-MO3OI
SM-MUA9P,SM-MO3OA
SM-MVYEA,SM-MO3O2
SM-MVYYD,SM-MO3NT
SM-MVYCS,SM-MO3N2
SM-MVYC8,SM-MO3N3
SM-MVYD1,SM-MO3N4
SM-MVYCO,SM-MO3N5
SM-MVQKQ,SM-MO3N6
SM-MVQJS,SM-MO3N7
SM-MVQJ8,SM-MO3N8
SM-MVYXC,SM-MO3N9
SM-MVYFW,SM-MO3NA
SM-MVYXK,SM-MO3NB
SM-MX8NW,SM-MO3NC
SM-MVYFO,SM-MO3ND
SM-MVYEX,SM-MO3NE
SM-MVYG9,SM-MO3NF
SM-MVYGH,SM-MO3NG
SM-MVYYH,SM-MO3NH
SM-MVYYL,SM-MO3NI
SM-MX8MZ,SM-MO3NJ
SM-MXVLN,SM-MO3NK
SM-MXVLJ,SM-MO3NL
SM-MX8O1,SM-MO3N1
SM-MVYXS,SM-MO3PI
SM-MVYXO,SM-MO3PA
SM-MVYCG,SM-MO3P1
SM-MVYG5,SM-MO3OS
SM-MX8LD,SM-MO3OJ
SM-MX8L1,SM-MO3OB
SM-MVYYY,SM-MO3O3
SM-MX8M2,SM-MO3NU
SM-MX8ME,SM-MO3NM
SM-MVYXG,SM-MO3PB
SM-MX8NC,SM-MO3P3
SM-MVQPH,SM-MO3OK
SM-MVYFS,SM-MO3OC
SM-MVYCC,SM-MO3NV
SM-MVYCK,SM-MO3NN
SM-MVYER,SM-MO3PC
SM-MVYXW,SM-MO3P4
SM-MVYFG,SM-MO3OL
SM-MVYZ8,SM-MO3OD
SM-MX8LT,SM-MO3NW
SM-MX8M6,SM-MO3NO
SM-MX8MR,SM-MO3PL
SM-MVYX8,SM-MO3PD
SM-MVYEV,SM-MO3P5
SM-MVYZ4,SM-MO3OM
SM-MVYEN,SM-MO3OE
SM-MVYF8,SM-N8RUL
SM-MVYDT,SM-MO3PJ
SM-MVYG1,SM-MO3OT
SM-MVYDH,SM-MO3O4
SM-MVYFK,SM-MO3PK
SM-MVYX4,SM-MO3OU
SM-MVYY9,SM-MO3O5
SM-MVYEJ,SM-MO3OV
SM-MXVMO,SM-N8RUU
SM-MX8HS,SM-N8RV4
SM-MX8ID,SM-N8RVD
SM-MX8L9,SM-N8RVM
SM-MX8L5,SM-N8RVW
SM-MX8O5,SM-N8RW7
SM-MX815,SM-N8RWG
SM-MXVKM,SM-N8RWP
SM-MY61T,SM-N8RUK
SM-MXVMS,SM-N8RUT
SM-MVYFC,SM-N8RV3
SM-MVYYT,SM-N8RVC
SM-MX8N4,SM-N8RVL
SM-MX8MJ,SM-N8RVV
SM-MX8LL,SM-N8RW6
SM-MXVLF,SM-N8RWF
SM-MXVKE,SM-N8RWO
SM-MXVLV,SM-N8RUJ
SM-MVYYP,SM-N8RUS
SM-MVQKH,SM-N8RVB
SM-MX8KS,SM-N8RVK
SM-MX8KO,SM-N8RVU
SM-MX8LH,SM-N8RWE
SM-MXVO3,SM-N8RWN
SM-MX8JR,SM-N8RU1
SM-MX8KW,SM-N8RUI
SM-MX8NO,SM-N8RUR
SM-MX8MN,SM-N8RV1
SM-MX8NK,SM-N8RVA
SM-MX8NG,SM-N8RVJ
SM-MX8MA,SM-N8RVT
SM-MXVLZ,SM-N8RWD
SM-MX8K4,SM-N8RWM
SM-MXVHA,SM-N8RUH
SM-MXVMC,SM-N8RUQ
SM-MY62I,SM-N8RUZ
SM-MXVHI,SM-N8RV9
SM-MY62Y,SM-N8RVS
SM-MX8LX,SM-N8RW3
SM-MX8NS,SM-N8RV2
SM-MX8JA,SM-N8RW5
SM-MX8KC,SM-N8RW4
SM-MY5ZZ,SM-N8RVI
